"Community","ModelSeropos","CILow","CIHigh","Month_num"
"Abington",0.0105394190671275,8.45699940081228e-05,0.0436999176875532,1
"Acton",0.0128271226813372,0.000113619174800832,0.0553957760264833,1
"Acushnet",0.0100000412339255,7.62958349987518e-05,0.0434803620323845,1
"Adams",0.0101097522240925,9.71825074888734e-05,0.0420249327991975,1
"Agawam",0.021791145619008,0.0002756624437944,0.092604573825784,1
"Amesbury",0.0117569415212339,9.68764729549879e-05,0.0461506910617317,1
"Amherst",0.0284173745579714,0.00021816987200373,0.115525791028051,1
"Andover",0.0168009638790234,0.000186543165087474,0.0707391489039811,1
"Arlington",0.00857110289395878,8.1021575287542e-05,0.0336596234427496,1
"Ashburnham",0.0117737489774837,8.13463623793171e-05,0.0483951396279144,1
"Ashby",0.016959586309397,9.82301833803273e-05,0.0805375878101916,1
"Ashfield",0.0175273021055012,0.000119585094752048,0.0715752712491785,1
"Ashland",0.00729198215583273,6.70350624908939e-05,0.0310766324982651,1
"Athol",0.00886646938756053,7.95589117741559e-05,0.0379861192273535,1
"Attleboro",0.0229695648773862,0.000305551839595217,0.0938758439679469,1
"Auburn",0.0260679920345848,0.000214809466908821,0.113870888509436,1
"Avon",0.0131741680503701,0.000102596484499715,0.0578822254224692,1
"Ayer",0.0122000693279484,0.000108708521606696,0.0542865585484465,1
"Barnstable",0.0128211276656642,0.000126237384670992,0.048182811955519,1
"Barre",0.0115830556414279,8.93440662980027e-05,0.0447220291939646,1
"Becket",0.0143389262864508,9.63037329032475e-05,0.0601320638633727,1
"Bedford",0.0152902081290918,0.000119036692674751,0.0700793067818097,1
"Belchertown",0.0259101777235335,0.000222371634737567,0.107164119042322,1
"Bellingham",0.00799459962304688,7.52524963959723e-05,0.0344469431522979,1
"Belmont",0.00916409308646747,7.82164647855792e-05,0.03998780257652,1
"Berkley",0.0250479773939417,0.000138194290503508,0.108821100065621,1
"Berlin",0.0201702143039625,9.10221919264447e-05,0.083446974124074,1
"Bernardston",0.0159367054120618,0.000104515919199849,0.0700016071232591,1
"Beverly",0.023180138458006,0.000373341219363297,0.0886044556979466,1
"Billerica",0.033477402372302,0.000534505425250886,0.125866430370378,1
"Blackstone",0.00952453466287078,7.43725598529075e-05,0.0422557910637639,1
"Blandford",0.0164467066349515,9.89001450025122e-05,0.0731962045255302,1
"Bolton",0.012314689956877,0.000102053111185658,0.0533277367246873,1
"Boston",0.0492065822117836,0.00157469126515828,0.174840847150539,1
"Bourne",0.0116961867802209,9.18431576020991e-05,0.0467171301142177,1
"Boxborough",0.0117156581542495,9.15708864664775e-05,0.048152607878808,1
"Boxford",0.0163639075273846,0.000151561195893427,0.0653942488753925,1
"Boylston",0.021532143912003,0.000136827880233958,0.0930335576444878,1
"Braintree",0.0178053158298009,0.000165225566838317,0.0732014894507614,1
"Brewster",0.0145443180850438,8.28025289452538e-05,0.0619708434913003,1
"Bridgewater",0.00914155141237522,8.88935723047023e-05,0.0376235594789817,1
"Brimfield",0.0143297517700004,9.33426618255129e-05,0.0602339859228303,1
"Brockton",0.111404974286199,0.00353885168375631,0.395235095969902,1
"Brookfield",0.0130811633204522,0.000109624292525556,0.0567861924714727,1
"Brookline",0.0056320073793654,6.49201765466235e-05,0.0229798218099329,1
"Burlington",0.0109149408458236,0.000115140266412759,0.0447445377248857,1
"Cambridge",0.0121977289550183,0.000180392002310323,0.0483475846124901,1
"Canton",0.00746287118308509,8.13549745785825e-05,0.0320703045994163,1
"Carlisle",0.0155494098275556,8.64317441652359e-05,0.0606525893750329,1
"Carver",0.0174531417415165,0.00011020271428266,0.0732104828465529,1
"Charlemont",0.0188427135697493,9.89635713486215e-05,0.0796159497286014,1
"Charlton",0.015231690678831,0.000112351217427358,0.0693326632128088,1
"Chatham",0.0285917330383109,0.000174923046153109,0.122543443020667,1
"Chelmsford",0.00900369547787861,9.16574906944508e-05,0.0397062404149132,1
"Chelsea",0.205024239599915,0.0067631201062701,0.713713126200947,1
"Cheshire",0.0143138778099372,0.000102942851680161,0.0632232829483984,1
"Chester",0.0159781452191997,0.000100837374625727,0.0670313783869869,1
"Chesterfield",0.0168168390382284,8.73308821819198e-05,0.069794666092324,1
"Chicopee",0.0130745430050389,0.000101181537141366,0.0541598276874675,1
"Chilmark",0.0157513061534375,9.09324205007597e-05,0.0688113036462479,1
"Clinton",0.0164169397301163,0.000147739298648747,0.0685899228947472,1
"Cohasset",0.0200411253818056,0.000119713348476759,0.083596730327784,1
"Colrain",0.0169224577897345,9.52631431079682e-05,0.0689337360615958,1
"Concord",0.0101888241297157,7.22760345639566e-05,0.0415638805589449,1
"Conway",0.0183297690848344,0.000100761735439816,0.0776259433352112,1
"Cummington",0.0168285795071335,0.000110892826761575,0.0684152775501302,1
"Dalton",0.0119726931017593,8.90623431436679e-05,0.0546169893969509,1
"Danvers",0.00817774514907512,9.57263963878801e-05,0.0339249205935954,1
"Dartmouth",0.00701401229748183,7.42727935046282e-05,0.0305270970171574,1
"Dedham",0.00935546896297867,0.000114776044509498,0.0383814761023262,1
"Deerfield",0.013947537924206,9.76218110998808e-05,0.057433257115051,1
"Dennis",0.0144097558767653,9.87305220517887e-05,0.0591758076452435,1
"Dighton",0.0199569329545393,0.000167165786594123,0.09334331842407,1
"Douglas",0.016398305944719,0.000120957016329087,0.0757395346743077,1
"Dover",0.012700698969865,8.68505243008169e-05,0.0537069740536215,1
"Dracut",0.00738759405280563,7.95594645698011e-05,0.0317841146067305,1
"Dudley",0.0109057730466176,8.69339832115841e-05,0.0441489584925813,1
"Dunstable",0.0165074999905474,0.000105814867334895,0.0719207305041306,1
"Duxbury",0.00948486325518754,8.80868430553182e-05,0.0387134691822952,1
"East Bridgewater",0.00946659683969358,8.78963514933695e-05,0.0382828992681826,1
"East Brookfield",0.0147578100199041,0.000104941576031671,0.0681919593497686,1
"East Longmeadow",0.00857902034773321,9.39205251198642e-05,0.0358549346325311,1
"Eastham",0.0149143318537381,0.000104624871687945,0.0613716927744406,1
"Easthampton",0.0140881082525048,0.000112196750795746,0.0595038500601167,1
"Easton",0.0109213953900905,0.000101253207556292,0.0441951290315548,1
"Edgartown",0.0232939821826247,0.000142721296197226,0.101534746191086,1
"Egremont",0.0181940351740404,8.73172677630919e-05,0.0747085018894903,1
"Erving",0.0169619628821197,0.000118766733400521,0.0712147275156039,1
"Essex",0.0136895623642119,0.000119814828493416,0.0552146896506907,1
"Everett",0.082268810255963,0.00255018790207408,0.299228197050754,1
"Fairhaven",0.0245484852784168,0.000198779802471214,0.110003151738476,1
"Fall River",0.014650779770943,0.000326288799816324,0.0563265569763695,1
"Falmouth",0.011071075719149,0.000106008756456361,0.0447636332664118,1
"Fitchburg",0.0272910836649926,0.000561979388436634,0.107284415691859,1
"Florida",0.0184908256660459,0.000107342677106269,0.075055890916522,1
"Foxborough",0.00751066565901583,7.84474574430482e-05,0.0321413055360165,1
"Framingham",0.0442557250814877,0.00144047963797141,0.1655512255223,1
"Franklin",0.0126969951031289,0.000116588775264607,0.0526549688056381,1
"Freetown",0.0101521254159632,8.87104542199328e-05,0.042600276359227,1
"Gardner",0.00889088167794388,8.20254275755869e-05,0.0402814967334884,1
"Georgetown",0.0127803508238478,8.10727350770077e-05,0.0556408741708423,1
"Gill",0.0166440407996103,9.78143894445079e-05,0.0742847632556952,1
"Gloucester",0.00623919958482953,6.28154131704908e-05,0.0261144540156884,1
"Goshen",0.0184715782731414,0.000104329752775996,0.0760334438983865,1
"Grafton",0.0122285373966508,0.000117085409920121,0.051493365391029,1
"Granby",0.04763134235046,0.000279105717538271,0.197673950895594,1
"Granville",0.0144744925735993,0.000109619545685389,0.0543960640876781,1
"Great Barrington",0.0182651980897529,0.000105664362400643,0.0804450681066214,1
"Greenfield",0.00818163188812047,7.22007991386281e-05,0.0361666200935147,1
"Groton",0.0100608896284595,7.81078987404835e-05,0.0411361927016613,1
"Groveland",0.013101379941969,8.04175876702548e-05,0.0583678532823806,1
"Hadley",0.012749438180194,0.0001032750419766,0.050684098541855,1
"Halifax",0.0114972116113163,8.70212006369288e-05,0.0528882457344223,1
"Hamilton",0.0118222262814686,9.66702251956944e-05,0.050426391728055,1
"Hampden",0.0129916629423691,0.000109416119731538,0.0512965818724321,1
"Hanover",0.00944935895484534,7.87848104540304e-05,0.0401677382016408,1
"Hanson",0.0367842037638074,0.000284863925871675,0.156363019357573,1
"Hardwick",0.0171796571214962,0.000105353598952731,0.070622792967015,1
"Harvard",0.0132804736138502,8.84331718335779e-05,0.0554690588306954,1
"Harwich",0.0177160901065268,9.84932826330175e-05,0.0773401969061941,1
"Hatfield",0.0155911751407151,8.75090430531083e-05,0.0700834135730888,1
"Haverhill",0.0161102491500708,0.000182061422055057,0.0658443569422333,1
"Heath",0.0197994638664463,9.80705149717032e-05,0.0895783106956978,1
"Hingham",0.0167393020537856,0.000158677389929668,0.0715063477349206,1
"Hinsdale",0.0144525289505884,9.47544859049222e-05,0.0580881467422451,1
"Holbrook",0.0197927398017055,0.00017296107544567,0.0761978883588459,1
"Holden",0.00748183972333244,7.9703863310275e-05,0.031199407877797,1
"Holland",0.0144553841358807,8.86417208218051e-05,0.0523133104718301,1
"Holliston",0.00804950255376072,7.89027467845917e-05,0.0368214899047736,1
"Holyoke",0.0509752130283101,0.00150827061327762,0.184600217949896,1
"Hopedale",0.0127688790355535,0.000100599647013599,0.0541999275073641,1
"Hopkinton",0.0100213974593831,8.34921000970098e-05,0.0392628396499578,1
"Hubbardston",0.0106644884113132,7.75248715160772e-05,0.0484096454579284,1
"Hudson",0.0115216208094657,0.000100630104858541,0.0472743667029374,1
"Hull",0.017035119615425,0.000110702449741893,0.0774135805893806,1
"Huntington",0.0156482533659682,9.37650174636855e-05,0.0663585376331234,1
"Ipswich",0.0105276058791397,8.16283940653342e-05,0.0417540026024477,1
"Kingston",0.0122821201990342,0.00011697227443253,0.0526917299926592,1
"Lakeville",0.0123670670551082,8.94661067101352e-05,0.0526332376177443,1
"Lancaster",0.0106519567884797,8.29435451524108e-05,0.0453816868615613,1
"Lanesborough",0.0128295354115945,0.000108648779600812,0.0554833898822947,1
"Lawrence",0.115929134260677,0.00365497535315102,0.406817835621491,1
"Lee",0.0122651483211072,9.80003754403159e-05,0.0527986568914554,1
"Leicester",0.0160967439221114,0.000134100651637396,0.067070386553031,1
"Lenox",0.0155798650188506,0.000109737394012266,0.068680018573846,1
"Leominster",0.0541227233180721,0.00164425296753726,0.212068755438312,1
"Leverett",0.019730422302519,0.000102465843202791,0.0881219837189949,1
"Lexington",0.00854936174477118,6.98857606513024e-05,0.0364146368555754,1
"Lincoln",0.0133009987177233,0.000114105814911742,0.0499602547769263,1
"Littleton",0.00991251560926263,6.92981847270865e-05,0.0420329730034399,1
"Longmeadow",0.0103670245957147,9.11348215166093e-05,0.0413355010623855,1
"Lowell",0.0461825904086792,0.00142089424469719,0.164486227773424,1
"Ludlow",0.0125981676847101,8.71232639173015e-05,0.0515270642522343,1
"Lunenburg",0.00941092930956086,8.12914819080672e-05,0.0405191210243468,1
"Lynn",0.18769919443181,0.00609371294273689,0.673326280875645,1
"Lynnfield",0.010999896313005,8.60003349718066e-05,0.0481704577843231,1
"Malden",0.018188728021201,0.000309080146559254,0.0725538028796251,1
"Manchester",0.0151971740346798,0.00010559845481431,0.0611878461360554,1
"Mansfield",0.010095361263915,9.11520424337024e-05,0.0462082706237453,1
"Marblehead",0.0117991753751584,9.98092480175307e-05,0.0508725817603354,1
"Marion",0.0131121196864369,0.000108637674222403,0.0533050552257534,1
"Marlborough",0.0134488467782282,0.000121452647496216,0.0528638528003412,1
"Marshfield",0.0230818975707378,0.000165800189572357,0.0999515134269684,1
"Mashpee",0.00949416875377842,7.83066435329107e-05,0.0423634204786839,1
"Mattapoisett",0.0145578787831608,0.000113529021832825,0.0620419929075412,1
"Maynard",0.00978793439198909,8.49892459482762e-05,0.0405670143238561,1
"Medfield",0.0111341282541528,9.84871089399242e-05,0.0422535504084243,1
"Medford",0.0203926981973572,0.000314931214301049,0.0752301793827084,1
"Medway",0.0095253059869786,8.2356302385521e-05,0.0378386002606626,1
"Melrose",0.0188182334048445,0.000235228500925601,0.0747022731203411,1
"Mendon",0.0123254005612665,9.91367588819598e-05,0.0549681479502202,1
"Merrimac",0.0123309578289668,8.70864221756322e-05,0.0526841974138238,1
"Methuen",0.0452625141449992,0.00120243472992016,0.167732602346152,1
"Middleborough",0.00651435554273661,6.71842149232483e-05,0.0270192132982383,1
"Middlefield",0.0185185958291802,0.00011833735277833,0.0827555497917251,1
"Middleton",0.0348287504355471,0.000240931703192782,0.15983893013824,1
"Milford",0.115461187999644,0.00389085727783361,0.404076284244749,1
"Millbury",0.0411971601182577,0.000363039778202875,0.170633151211702,1
"Millis",0.0117152405001007,9.37387929578081e-05,0.0483646944906963,1
"Millville",0.0146657450784864,0.000103729232171012,0.0609677253016837,1
"Milton",0.00685578690737901,5.98426315213097e-05,0.0288592176961303,1
"Monroe",0.0198858168962792,0.000112173488855481,0.0793267215367519,1
"Monson",0.0356802495532914,0.000228098963661346,0.15819542985911,1
"Montague",0.0165683535917977,0.000143159333627028,0.0736988888660902,1
"Monterey",0.0170055042320891,0.000114424319792463,0.071220837534419,1
"Nahant",0.0160946908699548,8.72876166764126e-05,0.0620632512774282,1
"Nantucket",0.0368317928075693,0.000443075101431582,0.148614509807698,1
"Natick",0.00684947047996431,6.95046121340189e-05,0.0295999278522717,1
"Needham",0.00923948201272541,0.000100276292337478,0.0385776163572426,1
"New Bedford",0.0598834816708766,0.00179900556887314,0.223867458305904,1
"New Braintree",0.0254446858651917,9.9490058461849e-05,0.110996890038658,1
"New Marlborough",0.0181040039618725,0.000117362772801638,0.0782713395334401,1
"New Salem",0.0176114358370039,0.000110415660196225,0.0722130260863152,1
"Newbury",0.0126982760578966,8.12519837949944e-05,0.0543166681242195,1
"Newburyport",0.0132027426380408,0.000109935625232501,0.0575855797691356,1
"Newton",0.00799758037533928,8.81176085612625e-05,0.0332658643677374,1
"Norfolk",0.0103068606451061,8.4140310571173e-05,0.0459418717116821,1
"North Adams",0.0126561088284913,0.000110471341321534,0.0516302721858141,1
"North Andover",0.00820166384427514,8.30917767301005e-05,0.0389396851197931,1
"North Attleborough",0.00863840330281846,7.69070116386854e-05,0.0392331844589193,1
"North Brookfield",0.0130199939144129,7.75809639613556e-05,0.0575802215074079,1
"North Reading",0.00798798253300617,7.55011685513284e-05,0.0326243567641781,1
"Northampton",0.0103836853640118,8.84989131943799e-05,0.0439001438719562,1
"Northborough",0.026450148357377,0.000229331110217205,0.110907432222602,1
"Northbridge",0.0131653136628018,0.000132640434777654,0.0596951484759124,1
"Northfield",0.0167951245931507,0.000111623813853058,0.0687004766880423,1
"Norton",0.00893474948495657,7.46729162993736e-05,0.0385794180798425,1
"Norwell",0.0106199482950969,7.29155345375466e-05,0.0463428965200691,1
"Norwood",0.0106321600780737,0.000112981622915686,0.0444541874477275,1
"Oak Bluffs",0.0153955307119763,9.64902405797117e-05,0.0650301813883731,1
"Oakham",0.0164342117586924,0.0001168973920686,0.0610330944460438,1
"Orange",0.011004758252687,8.31143872965774e-05,0.042174506792276,1
"Orleans",0.0149400368394098,9.62655102251791e-05,0.0649111216925537,1
"Otis",0.0146618768173668,9.88731797687874e-05,0.0637083822424318,1
"Oxford",0.0146623713277311,0.000120315042975065,0.0638312347894962,1
"Palmer",0.0117205277620386,9.46241658695833e-05,0.0470150949215124,1
"Paxton",0.0145672313770707,0.000104649529344622,0.0634649065639959,1
"Peabody",0.00664669776042977,7.50462040604825e-05,0.0272268956753897,1
"Pembroke",0.0111185521121157,9.33166314407185e-05,0.0511292647179602,1
"Pepperell",0.0100817078423297,9.15873687849505e-05,0.0429192346800105,1
"Petersham",0.0168509723993666,0.000116262537329465,0.0657174686387344,1
"Pittsfield",0.00706368402272275,4.99512986511379e-05,0.0277671848476123,1
"Plainfield",0.0203369786619897,0.000121252899446725,0.0884673502135054,1
"Plainville",0.00982347585157643,8.95663514981315e-05,0.039684004202058,1
"Plymouth",0.00644834288034697,6.37521922275849e-05,0.0268343905020131,1
"Plympton",0.0276445446902047,0.000153802364091479,0.120646262853328,1
"Princeton",0.0140126270673585,9.2763995534281e-05,0.0666634723485587,1
"Provincetown",0.0171143950413827,0.000105542308287503,0.0679571590422624,1
"Quincy",0.0265562875919052,0.000728024323638632,0.0978475837754027,1
"Randolph",0.0769880763910557,0.00215092128167812,0.283686628519805,1
"Raynham",0.00910845738202095,8.28906124400667e-05,0.0391283948536591,1
"Reading",0.0081156255892531,8.09636549816994e-05,0.0335464833806559,1
"Rehoboth",0.012614830270014,7.60650448076368e-05,0.0574720609538848,1
"Revere",0.0488137052994946,0.00149079410338408,0.183327950324989,1
"Richmond",0.0200685020387767,0.000108808336297075,0.0788500161824421,1
"Rochester",0.0133915067883802,0.000115031715235401,0.0539108343597278,1
"Rockland",0.0095363818850557,0.000105629734682315,0.0411822556258832,1
"Rockport",0.012920698276771,0.000101423985722389,0.0535318909895646,1
"Rowe",0.0202795062932616,0.000105526924415019,0.0806014079812042,1
"Rowley",0.0123151258171697,0.000117244144691494,0.0477473978534744,1
"Royalston",0.0394255116054175,0.000180942767587236,0.167317176077266,1
"Russell",0.0345092549287739,0.00015103954775549,0.132062554518811,1
"Rutland",0.0106074430605578,0.000105867813399554,0.0433474497762852,1
"Salem",0.00858612743239021,9.09434835272683e-05,0.0351894105458191,1
"Salisbury",0.01736125560664,0.000136646174813527,0.0766636856758825,1
"Sandisfield",0.0196398187640209,0.000104654560959688,0.0742573818093457,1
"Sandwich",0.00853220411454027,8.04757349549624e-05,0.0359901530094684,1
"Saugus",0.00805118602202851,7.76650729279186e-05,0.0347576811582475,1
"Savoy",0.0190245984093356,0.000123429285655192,0.0877208980004347,1
"Scituate",0.0111937012610551,0.000100685652386903,0.0469500418921744,1
"Seekonk",0.0119467870617026,0.000112977832296836,0.0515756808154504,1
"Sharon",0.00849793465415243,9.07009556149206e-05,0.0343009201545377,1
"Sheffield",0.0232457837554108,0.000147889697187253,0.107401780330362,1
"Shelburne",0.0294439567918605,0.000155601208464405,0.127418146365455,1
"Sherborn",0.0142729285254546,9.98894666004916e-05,0.0586592292785246,1
"Shirley",0.0121869437420973,8.28824614351089e-05,0.0549841721565586,1
"Shrewsbury",0.0261557820535108,0.000261253457028908,0.117327920706592,1
"Shutesbury",0.0170718910100157,9.83380235761982e-05,0.0780177912867005,1
"Somerset",0.0164624044619483,0.000120838659785432,0.0739209583762333,1
"Somerville",0.0197136374652523,0.000350438941601937,0.0741368479030293,1
"South Hadley",0.0141610029709479,0.000129973089009272,0.0635927149848527,1
"Southampton",0.0135451906923419,7.38293993912628e-05,0.0592437825075677,1
"Southborough",0.010262895426797,8.843922121842e-05,0.0414486970085364,1
"Southbridge",0.00623633229268606,7.41438206960932e-05,0.0262138798136331,1
"Southwick",0.0183509286293747,0.000141118807903083,0.0768792831941382,1
"Spencer",0.0131123778853218,0.000108439617367116,0.0546698434301974,1
"Springfield",0.0707312108500094,0.00217274989806668,0.244051639178818,1
"Sterling",0.0120041728828219,8.59728203879736e-05,0.0522326923747912,1
"Stockbridge",0.0488633651188893,0.000195095398505694,0.208818375007544,1
"Stoneham",0.00926937842284214,9.7878153626317e-05,0.0389980872140797,1
"Stoughton",0.0264656263827208,0.000381894737186547,0.10665265544605,1
"Stow",0.013093155634764,8.09332370652151e-05,0.0534368311855652,1
"Sturbridge",0.0151165882297578,0.000100914382562997,0.0687836879018001,1
"Sudbury",0.0144916544204144,0.00013134486694661,0.0640634569326528,1
"Sunderland",0.0122735960992945,9.09877507901741e-05,0.0503432711840852,1
"Sutton",0.0114020057459312,9.93283093353651e-05,0.0533670485709739,1
"Swampscott",0.00807134746084446,7.00695144275556e-05,0.0355273240960171,1
"Swansea",0.0265410088964187,0.000212881571618605,0.11756433656583,1
"Taunton",0.0184808057008498,0.000244423281330285,0.0739874357977626,1
"Templeton",0.0193401254019558,0.000140272525988684,0.0856919276318439,1
"Tewksbury",0.00867256816330297,8.33817004622294e-05,0.0337340417220255,1
"Tisbury",0.0169516556684215,0.000127947762249315,0.0736358781827321,1
"Topsfield",0.011083558264401,0.000103020027983304,0.0505943879214777,1
"Townsend",0.00961385324680332,8.26438982725176e-05,0.0377328204181751,1
